n	seed	k	bound	count	inc
9	18	10	48.0	9	0.416666666667
9	0	10	360.0	5	0.583333333333
11	27	1	3628800.0	211022	1.0
11	115	1	3628800.0	288866	1.0
11	69	1	3628800.0	224451	1.0
11	83	1	3628800.0	129706	1.0
11	35	1	3628800.0	13338	1.0
11	109	1	3628800.0	546559	1.0
11	89	1	3628800.0	4249	1.0
11	139	1	3628800.0	729024	1.0
11	24	1	3628800.0	74138	1.0
11	129	1	3628800.0	522216	1.0
11	27	2	544320.0	9456	0.836363636364
11	69	2	120960.0	3898	0.745454545455
11	115	2	241920.0	6428	0.745454545455
11	109	2	362880.0	78547	0.836363636364
11	35	2	3628800.0	3350	1.0
11	83	2	414720.0	936	0.8
11	24	2	1451520.0	11301	0.945454545455
11	129	2	725760.0	103994	0.854545454545
11	89	2	1814400.0	547	0.945454545455
11	139	2	725760.0	84747	0.854545454545
11	27	5	12096.0	46	0.527272727273
11	115	5	192.0	6	0.345454545455
11	69	5	3840.0	15	0.490909090909
11	83	5	40320.0	104	0.636363636364
11	35	5	108000.0	10	0.654545454545
11	109	5	480.0	48	0.4
11	139	5	432.0	10	0.363636363636
11	89	5	15120.0	4	0.563636363636
11	129	5	640.0	60	0.418181818182
11	24	5	2160.0	4	0.436363636364
11	89	10	12960.0	3	0.545454545455
11	129	10	96.0	12	0.327272727273
11	27	10	2592.0	3	0.454545454545
11	69	10	1920.0	5	0.436363636364
11	24	10	1296.0	2	0.4
11	83	10	4320.0	4	0.490909090909
11	35	10	72000.0	3	0.618181818182
11	139	10	216.0	8	0.345454545455
11	115	10	512.0	6	0.381818181818
11	109	10	64.0	7	0.309090909091
13	25	1	479001600.0	78781	1.0
13	40	1	479001600.0	9300931	1.0
13	45	1	479001600.0	28053	1.0
13	15	1	479001600.0	867056	1.0
13	3	1	479001600.0	9863339	1.0
13	19	1	479001600.0	7318619	1.0
13	56	1	479001600.0	23086684	1.0
13	12	1	479001600.0	1118667	1.0
13	43	1	479001600.0	33809749	1.0
13	84	1	479001600.0	27236653	1.0
13	25	2	119750400.0	2488	0.858974358974
13	40	2	47900160.0	436744	0.846153846154
13	15	2	114048000.0	26834	0.871794871795
13	45	2	108864000.0	1592	0.846153846154
13	56	2	79833600.0	2235187	0.871794871795
13	12	2	19958400.0	14892	0.833333333333
13	3	2	47900160.0	409393	0.884615384615
13	19	2	65318400.0	120419	0.846153846154
13	43	2	29030400.0	575588	0.782051282051
13	84	2	479001600.0	8623319	1.0
13	25	5	1244160.0	44	0.615384615385
13	40	5	40320.0	352	0.474358974359
