n	k	S	inc	par	anc
5	5	69	0.8	0.75	0.8
5	5	71	0.5	0.875	1
5	5	9	0.6	0.5	1
5	10	18	0.9	0.875	0.9
5	10	37	0.9166665	0.875	1
5	10	3	1	1	1
5	10	45	0.75	0.875	1
5	10	5	0.9166665	0.875	1
5	10	62	0.9166665	0.875	1
5	10	66	0.875	0.875	0.9166665
5	10	69	0.9	0.875	0.9
5	10	71	1	1	1
5	10	9	0.8	0.875	1
7	1	10	0.5	0.666667	0.923077
7	1	12	0.692308	0.333333	0.875
7	1	23	0.555556	0.5	0.833333
7	1	30	0.733333	0.5	1
7	1	43	0.75	0.333333	0.692308
7	1	49	0.7	0.333333	0.7727275
7	1	61	0.769231	0.5	0.875
7	1	66	0.6	0.5	1
7	1	7	0.75	0.5	0.777778
7	1	81	0.727273	0.5	0.9
7	2	10	0.375	0.666667	0.923077
7	2	12	0.769231	0.5	0.875
7	2	23	0.666667	0.666667	0.916667
7	2	30	0.8	0.666667	1
7	2	43	0.75	0.5	0.8846155
7	2	49	0.8	0.5	0.818182
7	2	61	0.846154	0.5	0.875
7	2	66	0.7	0.666667	1
7	2	7	0.833333	0.5	0.777778
7	2	81	0.727273	0.666667	0.95
7	5	10	0.8125	0.833333	0.923077
7	5	12	0.846154	0.75	1
7	5	23	0.666667	0.75	0.916667
7	5	30	0.866667	0.666667	1
7	5	43	0.75	0.666667	1
7	5	49	1	0.9166665	0.9545455
7	5	61	0.846154	0.666667	0.875
7	5	66	0.8	0.833333	1
7	5	7	0.833333	0.666667	0.8333335
7	5	81	0.909091	0.833333	1
7	10	10	0.875	0.833333	0.923077
7	10	12	0.846154	0.833333	1
7	10	23	0.777778	0.833333	0.916667
7	10	30	0.933333	0.833333	1
7	10	43	0.875	0.833333	1
7	10	49	1	1	1
7	10	61	0.923077	0.833333	0.875
7	10	66	0.9	0.9166665	1
7	10	7	0.916667	0.833333	0.888889
7	10	81	0.9545455	0.9166665	1
9	1	0	0.631579	0.5	0.882353
9	1	18	0.8	0.5	0.818182
9	1	24	0.761905	0.375	0.866667
9	1	27	0.789474	0.5	0.823529
9	1	31	0.782609	0.375	0.769231
9	1	32	0.791667	0.375	0.75
9	1	48	0.8	0.375	0.818182
9	1	56	0.769231	0.375	0.8
9	1	5	0.807692	0.375	0.9
9	1	70	0.76	0.375	0.818182
9	2	0	0.789474	0.75	0.882353
9	2	18	0.84	0.5	0.818182
9	2	24	0.809524	0.5	0.866667
9	2	27	0.842105	0.625	0.882353
9	2	31	0.826087	0.5	0.769231
9	2	32	0.833333	0.5	0.833333
9	2	48	0.84	0.375	0.818182
9	2	56	0.846154	0.5	0.9
9	2	5	0.846154	0.5	0.9
9	2	70	0.76	0.375	0.818182
9	5	0	0.894737	0.875	0.882353
9	5	18	0.92	0.75	0.909091
9	5	24	0.857143	0.625	0.9666665
9	5	27	0.894737	0.75	0.941176
9	5	31	0.869565	0.75	0.923077
9	5	32	0.8541665	0.625	0.833333
9	5	48	0.9	0.625	0.909091
9	5	56	0.884615	0.75	0.8
9	5	5	0.961538	0.875	1
9	5	70	0.92	0.75	1
9	10	0	0.894737	0.875	0.882353
9	10	18	0.92	0.75	0.909091
9	10	24	0.8809525	0.75	1
9	10	27	0.947368	0.875	0.9117645
9	10	31	0.913043	0.875	0.923077
9	10	32	0.875	0.6875	0.833333
9	10	48	0.92	0.75	0.909091
9	10	56	0.961538	0.875	0.9
9	10	5	0.961538	0.875	1
9	10	70	0.92	0.875	1
11	1	109	0.804878	0.4	0.785714
11	1	115	0.769231	0.3	0.75
11	1	129	0.825	0.4	0.8
11	1	139	0.794872	0.4	0.8125
11	1	24	0.818182	0.4	0.818182
11	1	27	0.78125	0.4	0.826087
11	1	35	0.761905	0.5	0.882353
11	1	69	0.764706	0.4	0.809524
11	1	83	0.75	0.4	0.73913
11	1	89	0.62963	0.5	0.714286
11	2	109	0.829268	0.5	0.785714
11	2	115	0.820513	0.4	0.8125
11	2	129	0.85	0.4	0.8
11	2	139	0.820513	0.4	0.875
11	2	24	0.787879	0.4	0.818182
11	2	27	0.8125	0.5	0.869565
11	2	35	0.714286	0.6	0.911765
11	2	69	0.823529	0.6	0.857143
11	2	83	0.78125	0.6	0.869565
11	2	89	0.777778	0.7	0.75
11	5	109	0.926829	0.8	0.928571
11	5	115	0.974359	0.9	0.9375
11	5	129	0.95	0.75	0.933333
11	5	139	0.9615385	0.85	1
11	5	24	0.969697	0.9	0.954545
11	5	27	0.90625	0.7	0.913043
11	5	35	0.9761905	0.85	0.970588
11	5	69	0.941176	0.8	0.952381
11	5	83	0.8125	0.6	0.826087
11	5	89	0.9444445	0.9	0.964286
11	10	109	0.97561	0.9	0.928571
11	10	115	0.9615385	0.9	0.9375
11	10	129	0.975	0.8	0.933333
11	10	139	0.9615385	0.85	0.96875
11	10	24	1	0.95	0.9772725
11	10	27	0.96875	0.9	0.913043
11	10	35	1	0.9	0.970588
11	10	69	0.941176	0.9	0.952381
11	10	83	0.9375	0.9	0.913043
11	10	89	0.962963	0.9	0.964286
13	1	12	0.72549	0.25	0.666667
13	1	15	0.714286	0.416667	0.861111
13	1	19	0.770833	0.333333	0.8
13	1	25	0.65	0.5	0.894737
13	1	3	0.792453	0.25	0.68
13	1	40	0.818182	0.25	0.652174
13	1	45	0.69697	0.583333	0.933333
13	2	12	0.784314	0.583333	0.814815
13	2	15	0.761905	0.5	0.916667
13	2	19	0.791667	0.5	0.8
13	2	25	0.725	0.666667	0.894737
13	2	3	0.811321	0.416667	0.72
13	2	40	0.818182	0.333333	0.652174
13	2	43	0.814815	0.333333	0.791667
13	2	45	0.787879	0.666667	0.977778
13	2	56	0.821429	0.333333	0.818182
13	2	84	0.813559	0.333333	0.736842
13	5	12	0.9313725	0.833333	0.925926
13	5	15	0.892857	0.75	0.944444
13	5	19	0.9479165	0.75	0.9
13	5	25	0.8875	0.75	0.947368
13	5	3	0.90566	0.666667	0.84
13	5	40	0.890909	0.666667	0.782609
13	5	43	0.925926	0.666667	0.916667
13	5	45	0.9545455	0.833333	0.9333335
13	5	56	0.928571	0.666667	0.954545
13	5	84	0.949153	0.666667	0.842105
13	10	12	0.941176	0.916667	0.9444445
13	10	15	0.940476	0.916667	0.972222
13	10	19	0.96875	0.916667	0.9333335
13	10	25	0.925	0.916667	0.973684
13	10	3	0.971698	0.916667	0.92
13	10	40	0.936364	0.833333	0.869565
13	10	43	0.981481	0.916667	0.958333
13	10	45	0.9848485	0.9583335	1
13	10	56	0.9553575	0.833333	0.954545
13	10	84	0.9745765	0.833333	0.947368
