index	count
1	33
23	24
32	72
73	70
81	80
-1	77
12	0
18	0
3	0
6	0
7	0
5	0
4	0
26	0
14	0
17	0
27	0
19	0
0	0
13	0
22	0
20	0
2	0
8	0
9	0
10	0
11	0
24	0
15	0
16	0
25	0
21	0
28	0
35	0
34	0
33	0
40	0
41	0
42	0
30	0
29	0
31	0
37	0
36	0
39	0
38	0
78	0
61	0
76	0
63	0
72	0
75	0
77	0
71	0
62	0
59	0
85	0
84	0
66	0
86	0
91	0
92	0
95	0
88	0
93	0
87	0
89	0
90	0
94	0
47	0
53	0
54	0
55	0
44	0
52	0
51	0
43	0
46	0
56	0
48	0
49	0
57	0
45	0
50	0
79	0
60	0
68	0
64	0
70	0
74	0
80	0
69	0
65	0
58	0
83	0
82	0
67	0
102	0
99	0
96	0
104	0
100	0
101	0
103	0
97	0
98	0
105	0
