index	count	depth
97	1498	3
95	427	3
89	552	3
93	105	3
60	1354	3
96	11	4
90	73	3
59	66	3
19	961	3
18	251	3
21	432	3
20	924	3
17	447	3
22	120	4
151	202	3
154	3	3
156	199	4
140	275	3
162	162	3
142	1177	3
164	189	3
163	125	4
150	804	3
158	248	3
160	933	4
161	610	4
144	518	3
145	392	4
146	36	4
152	948	3
153	141	4
157	65	3
167	4	4
165	125	5
166	410	4
15	467	3
78	1245	3
77	411	3
62	21	3
75	298	3
16	345	4
88	712	4
61	56	4
27	81	3
28	612	3
133	14	3
131	76	4
122	233	3
121	293	3
128	483	3
130	243	4
124	42	3
26	1665	4
172	82	4
169	538	4
177	877	4
1	769	3
6	1375	3
34	434	3
36	318	4
106	238	4
109	10	4
116	67	4
117	387	5
99	732	3
105	610	3
66	790	3
104	101	4
100	160	3
65	616	3
110	1316	4
102	539	3
111	297	3
63	125	3
113	105	4
114	57	4
103	27	4
64	102	4
118	908	4
3	357	4
11	626	4
50	20	4
12	1748	3
0	169	4
48	214	3
51	171	3
49	40	4
287	196	4
232	16	4
227	13	4
272	24	4
252	11	4
234	166	4
261	109	4
292	84	4
276	9	4
233	1134	3
236	171	4
226	824	4
286	348	4
255	43	4
293	10	5
294	208	4
283	1	4
251	322	3
274	45	4
277	13	4
246	83	4
263	160	3
289	419	4
248	62	3
253	7	4
4	437	3
31	310	3
81	656	4
80	336	4
69	11	3
74	718	3
82	29	3
76	76	4
84	86	4
68	376	3
5	1114	4
107	1010	4
71	139	4
9	28	4
40	42	4
8	48	4
7	146	3
42	26	4
37	406	3
207	45	4
202	225	4
217	162	4
200	77	4
193	251	4
216	212	4
184	435	3
180	78	4
195	506	3
194	106	4
190	49	4
10	233	4
46	140	5
94	0	4
23	0	4
155	0	4
141	0	4
139	0	4
143	0	4
168	0	4
159	0	4
147	0	4
149	0	5
148	0	4
79	0	4
91	0	4
92	0	5
24	0	3
29	0	4
132	0	4
125	0	3
123	0	4
137	0	4
138	0	4
127	0	3
135	0	4
136	0	4
134	0	5
126	0	4
129	0	4
25	0	4
30	0	5
173	0	4
174	0	5
170	0	5
176	0	5
171	0	5
178	0	6
175	0	5
35	0	4
115	0	5
101	0	4
112	0	4
67	0	4
55	0	5
57	0	5
2	0	3
13	0	4
53	0	4
56	0	4
54	0	4
52	0	4
58	0	4
258	0	4
290	0	5
291	0	4
235	0	5
288	0	5
271	0	5
273	0	4
257	0	5
299	0	6
295	0	5
244	0	5
247	0	6
239	0	5
231	0	4
285	0	5
245	0	5
267	0	4
279	0	4
270	0	5
298	0	5
241	0	5
260	0	3
249	0	3
259	0	4
262	0	4
230	0	4
229	0	5
228	0	4
275	0	3
256	0	4
282	0	4
284	0	4
243	0	4
238	0	4
278	0	4
264	0	4
265	0	4
268	0	4
281	0	5
280	0	4
250	0	4
266	0	4
269	0	4
254	0	4
297	0	5
296	0	4
242	0	4
240	0	5
237	0	4
32	0	4
87	0	5
83	0	4
85	0	4
86	0	4
70	0	4
73	0	3
33	0	5
119	0	6
108	0	5
98	0	5
72	0	5
120	0	5
44	0	5
39	0	3
43	0	4
38	0	4
41	0	4
222	0	4
225	0	5
186	0	4
223	0	5
221	0	5
224	0	6
181	0	5
206	0	5
189	0	4
212	0	5
205	0	4
220	0	5
198	0	5
209	0	4
214	0	5
185	0	4
196	0	4
191	0	4
211	0	4
213	0	4
201	0	4
204	0	4
179	0	3
218	0	4
199	0	4
208	0	4
219	0	4
215	0	5
182	0	4
197	0	4
192	0	4
183	0	4
203	0	4
210	0	5
187	0	4
188	0	3
47	0	6
14	0	5
45	0	5
308	0	5
304	0	5
310	0	6
311	0	7
306	0	6
307	0	5
301	0	6
312	0	6
309	0	6
303	0	5
300	0	5
302	0	5
313	0	5
314	0	6
305	0	5
