index	count	depth
18	857	4
27	750	4
38	1643	5
62	2500	3
59	427	4
66	2073	4
92	2500	4
95	1750	5
90	2500	4
46	2500	3
1	0	3
12	0	3
23	0	3
3	0	3
6	0	3
7	0	3
5	0	3
4	0	4
26	0	3
14	0	4
17	0	3
19	0	5
0	0	3
13	0	3
22	0	3
20	0	4
2	0	3
8	0	3
9	0	3
10	0	3
11	0	4
24	0	3
15	0	4
16	0	3
25	0	4
21	0	5
28	0	3
35	0	3
34	0	3
33	0	3
40	0	3
41	0	3
42	0	4
30	0	3
29	0	3
31	0	3
37	0	4
36	0	3
32	0	4
39	0	4
78	0	4
61	0	4
73	0	4
76	0	3
63	0	3
72	0	3
75	0	3
77	0	3
71	0	3
85	0	5
84	0	4
86	0	4
91	0	5
88	0	3
93	0	4
87	0	4
89	0	4
94	0	6
47	0	3
53	0	3
54	0	3
55	0	3
44	0	3
52	0	3
51	0	4
43	0	3
56	0	3
48	0	4
49	0	3
57	0	4
45	0	4
50	0	5
79	0	4
60	0	4
68	0	4
81	0	3
64	0	3
70	0	3
74	0	3
80	0	3
69	0	3
65	0	3
58	0	4
83	0	5
82	0	4
67	0	4
102	0	4
99	0	5
96	0	4
104	0	5
100	0	3
101	0	4
103	0	4
97	0	4
98	0	4
105	0	6
