index	count	depth
60	77	4
62	2293	4
63	130	5
41	2500	4
66	3559	5
64	243	4
68	1089	5
69	109	6
4	0	2
5	0	3
7	0	3
6	0	3
3	0	3
2	0	3
11	0	3
10	0	4
8	0	3
9	0	4
30	0	3
31	0	3
15	0	3
28	0	3
39	0	3
34	0	3
27	0	3
37	0	3
19	0	3
38	0	4
35	0	3
26	0	3
20	0	3
36	0	4
17	0	3
22	0	4
53	0	3
49	0	3
45	0	4
48	0	3
55	0	3
54	0	4
52	0	3
56	0	3
57	0	4
50	0	3
46	0	4
44	0	4
51	0	4
43	0	4
47	0	5
59	0	3
58	0	4
61	0	4
1	0	3
13	0	4
12	0	3
0	0	4
14	0	5
33	0	4
32	0	3
16	0	3
29	0	3
24	0	4
40	0	4
21	0	4
42	0	5
25	0	3
18	0	3
23	0	4
65	0	4
67	0	5
