# 25 out of 25 mutations
10 #trees
14 #edges, tree 1
8;12;14 17
6 9
6 8;12;14
18 21
16 23
10;13 19;22;24
5;7 20
5;7 18
5;7 16
5;7 10;13
3 6
3 5;7
0;1;2 4;11;15
0;1;2 3
14 #edges, tree 2
8;12;14 17
6 9
6 8;12;14
20 23
18 21
10;13 19;22;24
5;7 20
5;7 18
5;7 16
5;7 10;13
3 6
3 5;7
0;1;2 4;11;15
0;1;2 3
14 #edges, tree 3
8;12;14 17
6 9
6 8;12;14
18 21
16 20
10;13 19;22;24
5;7 18
5;7 23
5;7 16
5;7 10;13
3 6
3 5;7
0;1;2 4;11;15
0;1;2 3
14 #edges, tree 4
8;12;14 17
6 9
6 8;12;14
18 21
16 20
16 23
10;13 19;22;24
5;7 18
5;7 16
5;7 10;13
3 6
3 5;7
0;1;2 4;11;15
0;1;2 3
14 #edges, tree 5
8;12;14 17
6 9
6 8;12;14
20 23
18 21
16 20
10;13 19;22;24
5;7 18
5;7 16
5;7 10;13
3 6
3 5;7
0;1;2 4;11;15
0;1;2 3
14 #edges, tree 6
8;12;14 17
6 9
6 8;12;14
18 4;11;15
18 21
16 20
10;13 19;22;24
5;7 18
5;7 23
5;7 16
5;7 10;13
3 6
3 5;7
0;1;2 3
14 #edges, tree 7
8;12;14 17
6 9
6 8;12;14
18 4;11;15
18 21
16 23
10;13 19;22;24
5;7 20
5;7 18
5;7 16
5;7 10;13
3 6
3 5;7
0;1;2 3
14 #edges, tree 8
8;12;14 17
6 9
6 8;12;14
20 23
18 4;11;15
18 21
10;13 19;22;24
5;7 20
5;7 18
5;7 16
5;7 10;13
3 6
3 5;7
0;1;2 3
14 #edges, tree 9
8;12;14 17
6 9
6 8;12;14
18 4;11;15
18 21
16 20
16 23
10;13 19;22;24
5;7 18
5;7 16
5;7 10;13
3 6
3 5;7
0;1;2 3
14 #edges, tree 10
8;12;14 17
6 9
6 8;12;14
20 23
18 4;11;15
18 21
16 20
10;13 19;22;24
5;7 18
5;7 16
5;7 10;13
3 6
3 5;7
0;1;2 3
