# 25 out of 25 mutations
300 #trees
15 #edges, tree 1
23 15
16 23
16 22
11;17 13;19
4;5;8 16
3 9;12
21 6;14;18;20
7;10 24
2 11;17
2 7;10
1 21
1 2
0 4;5;8
0 3
0 1
15 #edges, tree 2
16 23
16 22
11;17 13;19
4;5;8 16
3 9;12
21 6;14;18;20
7;10 24
2 11;17
2 7;10
1 21
1 15
1 2
0 4;5;8
0 3
0 1
15 #edges, tree 3
16 23
16 22
4;5;8 16
4;5;8 13;19
3 9;12
21 6;14;18;20
7;10 24
2 11;17
2 7;10
1 21
1 15
1 2
0 4;5;8
0 3
0 1
15 #edges, tree 4
23 15
16 23
16 22
4;5;8 16
4;5;8 13;19
3 9;12
21 6;14;18;20
7;10 24
2 11;17
2 7;10
1 21
1 2
0 4;5;8
0 3
0 1
15 #edges, tree 5
16 23
16 22
4;5;8 16
4;5;8 11;17
3 9;12
21 6;14;18;20
7;10 24
2 13;19
2 7;10
1 21
1 15
1 2
0 4;5;8
0 3
0 1
15 #edges, tree 6
23 15
16 23
16 22
4;5;8 16
4;5;8 11;17
3 9;12
21 6;14;18;20
7;10 24
2 13;19
2 7;10
1 21
1 2
0 4;5;8
0 3
0 1
15 #edges, tree 7
23 15
16 23
16 22
4;5;8 16
4;5;8 13;19
4;5;8 11;17
3 9;12
21 6;14;18;20
7;10 24
2 7;10
1 21
1 2
0 4;5;8
0 3
0 1
15 #edges, tree 8
16 23
16 22
4;5;8 16
4;5;8 13;19
4;5;8 11;17
3 9;12
21 6;14;18;20
7;10 24
2 7;10
1 21
1 15
1 2
0 4;5;8
0 3
0 1
15 #edges, tree 9
23 15
16 23
16 22
11;17 13;19
4;5;8 16
4;5;8 11;17
3 9;12
21 6;14;18;20
7;10 24
2 7;10
1 21
1 2
0 4;5;8
0 3
0 1
15 #edges, tree 10
16 23
16 22
11;17 13;19
4;5;8 16
4;5;8 11;17
3 9;12
21 6;14;18;20
7;10 24
2 7;10
1 21
1 15
1 2
0 4;5;8
0 3
0 1
15 #edges, tree 11
16 23
16 22
4;5;8 16
4;5;8 13;19
4;5;8 11;17
3 9;12
7;10 24
2 7;10
1 21
1 15
1 6;14;18;20
1 2
0 4;5;8
0 3
0 1
15 #edges, tree 12
23 15
16 23
16 22
4;5;8 16
4;5;8 13;19
4;5;8 11;17
3 9;12
7;10 24
2 7;10
1 21
1 6;14;18;20
1 2
0 4;5;8
0 3
0 1
15 #edges, tree 13
16 23
16 22
4;5;8 16
4;5;8 13;19
3 9;12
7;10 24
2 11;17
2 7;10
1 21
1 15
1 6;14;18;20
1 2
0 4;5;8
0 3
0 1
15 #edges, tree 14
23 15
16 23
16 22
4;5;8 16
4;5;8 13;19
3 9;12
7;10 24
2 11;17
2 7;10
1 21
1 6;14;18;20
1 2
0 4;5;8
0 3
0 1
15 #edges, tree 15
16 23
16 22
11;17 13;19
4;5;8 16
4;5;8 11;17
3 9;12
7;10 24
2 7;10
1 21
1 15
1 6;14;18;20
1 2
0 4;5;8
0 3
0 1
15 #edges, tree 16
16 23
16 22
4;5;8 16
4;5;8 11;17
3 9;12
7;10 24
2 13;19
2 7;10
1 21
1 15
1 6;14;18;20
1 2
0 4;5;8
0 3
0 1
15 #edges, tree 17
23 15
16 23
16 22
4;5;8 16
4;5;8 11;17
3 9;12
7;10 24
2 13;19
2 7;10
1 21
1 6;14;18;20
1 2
0 4;5;8
0 3
0 1
15 #edges, tree 18
23 15
16 23
16 22
11;17 13;19
4;5;8 16
4;5;8 11;17
3 9;12
7;10 24
2 7;10
1 21
1 6;14;18;20
1 2
0 4;5;8
0 3
0 1
15 #edges, tree 19
16 23
16 22
11;17 13;19
4;5;8 16
3 9;12
7;10 24
2 11;17
2 7;10
1 21
1 15
1 6;14;18;20
1 2
0 4;5;8
0 3
0 1
15 #edges, tree 20
23 15
16 23
16 22
11;17 13;19
4;5;8 16
3 9;12
7;10 24
2 11;17
2 7;10
1 21
1 6;14;18;20
1 2
0 4;5;8
0 3
0 1
15 #edges, tree 21
16 23
16 22
4;5;8 16
4;5;8 13;19
3 9;12
7;10 6;14;18;20
7;10 24
2 11;17
2 7;10
1 21
1 15
1 2
0 4;5;8
0 3
0 1
15 #edges, tree 22
16 23
16 22
4;5;8 16
4;5;8 13;19
3 9;12
24 6;14;18;20
7;10 24
2 11;17
2 7;10
1 21
1 15
1 2
0 4;5;8
0 3
0 1
15 #edges, tree 23
23 15
16 23
16 22
4;5;8 16
4;5;8 13;19
3 9;12
24 6;14;18;20
7;10 24
2 11;17
2 7;10
1 21
1 2
0 4;5;8
0 3
0 1
