solution	ancestral	parental	incomparable
0	0.8	0.375	0.857143
1	0.8	0.5	0.904762
2	0.8	0.375	0.809524
3	0.866667	0.5	0.857143
4	0.866667	0.5	0.904762
5	0.866667	0.625	0.952381
6	0.8	0.375	0.904762
7	0.8	0.375	0.904762
8	0.8	0.375	0.904762
9	0.8	0.5	0.952381
10	0.8	0.5	0.904762
11	0.866667	0.5	0.857143
12	0.8	0.375	0.809524
13	0.8	0.375	0.857143
14	0.866667	0.375	0.714286
15	0.933333	0.625	0.904762
16	0.933333	0.75	0.952381
17	0.933333	0.625	0.857143
18	0.933333	0.5	0.809524
19	0.933333	0.5	0.714286
20	0.933333	0.625	0.904762
21	0.933333	0.625	0.904762
22	0.933333	0.625	0.857143
23	0.933333	0.5	0.809524
24	0.933333	0.5	0.809524
25	0.866667	0.375	0.857143
26	0.866667	0.5	0.904762
27	0.866667	0.375	0.809524
28	0.866667	0.375	0.857143
29	0.866667	0.375	0.857143
30	0.866667	0.5	0.857143
31	0.866667	0.375	0.761905
32	0.866667	0.375	0.761905
33	0.866667	0.375	0.809524
34	0.866667	0.625	0.952381
35	0.866667	0.625	0.904762
36	0.933333	0.625	0.857143
37	0.866667	0.625	0.904762
38	0.866667	0.5	0.809524
39	0.866667	0.5	0.857143
40	0.933333	0.5	0.714286
41	0.866667	0.5	0.809524
42	0.866667	0.5	0.904762
43	0.866667	0.5	0.904762
44	0.866667	0.5	0.809524
45	0.866667	0.375	0.761905
46	0.866667	0.375	0.666667
47	0.866667	0.5	0.857143
48	0.866667	0.5	0.857143
49	0.866667	0.375	0.857143
50	0.866667	0.375	0.809524
51	0.866667	0.375	0.857143
52	0.866667	0.5	0.904762
53	0.866667	0.375	0.857143
54	0.866667	0.5	0.904762
55	0.866667	0.5	0.904762
56	0.866667	0.5	0.904762
57	0.866667	0.375	0.857143
58	0.866667	0.375	0.809524
59	0.866667	0.375	0.761905
60	0.866667	0.375	0.761905
61	0.866667	0.5	0.857143
62	0.866667	0.5	0.857143
63	0.866667	0.5	0.809524
64	0.866667	0.375	0.761905
65	0.866667	0.375	0.666667
66	0.933333	0.375	0.52381
67	0.933333	0.5	0.714286
68	0.933333	0.5	0.809524
69	0.866667	0.5	0.857143
70	0.866667	0.5	0.904762
71	0.933333	0.625	0.904762
72	0.866667	0.5	0.857143
73	0.933333	0.5	0.809524
74	0.866667	0.375	0.761905
75	0.866667	0.375	0.809524
76	0.866667	0.375	0.857143
77	0.866667	0.375	0.857143
78	0.866667	0.375	0.857143
79	0.933333	0.5	0.857143
80	0.933333	0.5	0.809524
81	0.866667	0.375	0.809524
82	0.866667	0.375	0.761905
83	0.933333	0.375	0.666667
84	0.866667	0.5	0.857143
85	0.866667	0.5	0.904762
86	0.8	0.5	0.904762
87	0.8	0.5	0.857143
88	0.866667	0.625	0.904762
89	0.866667	0.625	0.952381
90	0.866667	0.5	0.857143
91	0.866667	0.5	0.904762
92	0.866667	0.5	0.857143
93	0.866667	0.5	0.809524
94	0.866667	0.5	0.904762
95	0.866667	0.5	0.904762
96	0.866667	0.625	0.904762
