solution	ancestral	parental	incomparable
0	0.933333	0.75	0.952381
1	0.933333	0.625	0.904762
2	0.933333	0.625	0.857143
3	0.866667	0.625	0.904762
4	0.933333	0.75	0.952381
5	0.933333	0.625	0.904762
6	0.933333	0.625	0.857143
7	1	1	1
8	0.933333	0.875	0.952381
9	1	0.875	0.952381
10	1	0.875	0.904762
11	0.866667	0.75	0.857143
12	0.933333	0.875	0.952381
13	0.933333	0.75	0.857143
14	1	0.875	0.904762
15	1	0.75	0.761905
16	0.933333	0.75	0.857143
17	1	0.75	0.904762
18	1	0.875	0.952381
19	1	0.75	0.857143
20	1	0.75	0.904762
21	1	0.75	0.904762
22	1	0.75	0.857143
23	1	0.625	0.809524
24	1	0.625	0.809524
25	1	0.625	0.809524
26	1	0.625	0.714286
