66 #trees
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
2 6
3 5
5 9
6 7
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
2 6
3 5
3 7
5 9
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
2 6
3 5
5 9
4;8;11 7
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
2 7
3 5
3 6
5 9
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
3 5
3 6
5 9
6 7
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
3 5
3 6
5 9
4;8;11 7
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
2 7
3 5
5 9
4;8;11 6
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
3 5
3 7
5 9
4;8;11 6
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
3 5
5 9
6 7
4;8;11 6
8 #edges
0;1 2
0;1 3
0;1 4;8;11
0;1 7
2 10
3 5
5 9
4;8;11 6
8 #edges
0;1 2
0;1 3
0;1 4;8;11
0;1 7
2 10
3 5
3 6
5 9
8 #edges
0;1 2
0;1 3
0;1 4;8;11
0;1 7
2 10
2 6
3 5
5 9
8 #edges
0;1 2
0;1 3
0;1 4;8;11
0;1 7
2 6
3 10
3 5
5 9
8 #edges
0;1 2
0;1 3
0;1 4;8;11
0;1 7
3 10
3 5
5 9
4;8;11 6
8 #edges
0;1 2
0;1 3
0;1 4;8;11
0;1 7
3 5
3 6
5 9
7 10
8 #edges
0;1 2
0;1 3
0;1 4;8;11
0;1 7
3 5
3 6
5 9
4;8;11 10
8 #edges
0;1 2
0;1 3
0;1 4;8;11
0;1 7
3 5
3 6
5 9
6 10
8 #edges
0;1 2
0;1 3
0;1 4;8;11
0;1 7
3 5
3 6
5 9
9 10
8 #edges
0;1 2
0;1 3
0;1 4;8;11
0;1 7
2 6
3 5
5 9
9 10
8 #edges
0;1 2
0;1 3
0;1 4;8;11
0;1 7
2 6
3 5
5 9
6 10
8 #edges
0;1 2
0;1 3
0;1 4;8;11
0;1 7
2 6
3 5
5 9
7 10
8 #edges
0;1 2
0;1 3
0;1 4;8;11
0;1 7
2 6
3 5
5 9
4;8;11 10
8 #edges
0;1 2
0;1 3
0;1 4;8;11
0;1 7
3 5
5 9
4;8;11 6
7 10
8 #edges
0;1 2
0;1 3
0;1 4;8;11
0;1 7
3 5
5 9
9 10
4;8;11 6
8 #edges
0;1 2
0;1 3
0;1 4;8;11
0;1 7
3 5
5 9
6 10
4;8;11 6
8 #edges
0;1 2
0;1 3
0;1 4;8;11
2 6
3 5
3 7
5 9
4;8;11 10
8 #edges
0;1 2
0;1 3
0;1 4;8;11
2 6
3 5
5 9
6 7
4;8;11 10
8 #edges
0;1 2
0;1 3
0;1 4;8;11
2 7
3 5
3 6
5 9
4;8;11 10
8 #edges
0;1 2
0;1 3
0;1 4;8;11
3 5
3 6
5 9
6 7
4;8;11 10
8 #edges
0;1 2
0;1 3
0;1 4;8;11
2 10
2 6
3 5
5 9
4;8;11 7
8 #edges
0;1 2
0;1 3
0;1 4;8;11
2 6
3 5
5 9
4;8;11 7
7 10
8 #edges
0;1 2
0;1 3
