solution	ancestral	parental	incomparable
0	0.818182	0.5	0.92
1	0.818182	0.5	0.88
2	0.818182	0.5	0.92
3	0.818182	0.5	0.92
4	0.818182	0.5	0.88
5	0.818182	0.5	0.92
6	0.818182	0.5	0.92
7	0.818182	0.5	0.92
8	0.818182	0.5	0.88
9	0.909091	0.625	0.88
10	0.909091	0.75	0.92
11	0.909091	0.625	0.8
12	0.909091	0.75	0.96
13	0.909091	0.75	0.92
14	0.909091	0.875	1
15	0.909091	0.75	0.96
16	0.909091	0.75	0.96
17	0.909091	0.625	0.88
18	0.909091	0.625	0.88
19	0.818182	0.625	0.92
20	0.818182	0.5	0.84
21	0.818182	0.625	0.92
22	0.818182	0.5	0.84
23	0.818182	0.5	0.84
24	0.818182	0.625	0.92
25	0.818182	0.625	0.88
26	0.818182	0.75	0.96
27	0.818182	0.625	0.88
28	0.818182	0.5	0.76
29	0.909091	0.75	0.92
30	0.909091	0.75	0.88
31	0.909091	0.875	0.96
32	1	1	1
33	1	0.875	0.92
34	1	0.875	0.96
35	0.909091	0.625	0.92
36	0.909091	0.625	0.88
37	1	0.75	0.88
38	1	0.75	0.88
39	0.909091	0.625	0.92
40	0.909091	0.625	0.92
41	0.909091	0.625	0.88
42	0.909091	0.625	0.92
43	0.909091	0.625	0.92
44	0.909091	0.625	0.88
45	0.909091	0.625	0.92
46	0.909091	0.625	0.84
47	0.909091	0.625	0.84
48	0.909091	0.75	0.92
49	0.909091	0.625	0.84
50	1	0.875	0.96
51	1	0.75	0.88
52	0.909091	0.75	0.88
53	0.909091	0.75	0.92
54	0.909091	0.625	0.76
55	1	0.875	0.96
56	1	0.875	0.92
57	1	0.75	0.8
