solution	ancestral	parental	incomparable
0	0.727273	0.375	0.88
1	0.727273	0.375	0.84
2	0.818182	0.5	0.88
3	0.727273	0.375	0.84
4	0.818182	0.5	0.88
5	0.727273	0.375	0.84
6	0.909091	0.5	0.84
7	0.818182	0.5	0.84
8	0.727273	0.375	0.76
9	0.818182	0.5	0.84
10	0.818182	0.625	0.96
11	0.818182	0.625	0.92
12	0.818182	0.5	0.92
13	0.818182	0.5	0.88
14	0.818182	0.5	0.84
15	0.818182	0.5	0.92
16	0.818182	0.5	0.92
17	0.818182	0.5	0.88
18	0.818182	0.5	0.84
19	0.909091	0.625	0.92
20	0.909091	0.5	0.88
21	0.909091	0.5	0.84
22	0.909091	0.5	0.8
23	0.818182	0.375	0.8
24	0.818182	0.375	0.88
25	0.818182	0.5	0.92
26	0.818182	0.375	0.88
27	0.818182	0.375	0.88
28	0.818182	0.375	0.76
29	0.818182	0.5	0.88
30	0.818182	0.375	0.84
31	0.818182	0.375	0.8
32	0.727273	0.375	0.92
33	0.727273	0.375	0.88
34	0.727273	0.375	0.92
35	0.727273	0.375	0.92
36	0.727273	0.375	0.92
37	0.727273	0.5	0.96
38	0.727273	0.375	0.88
39	0.727273	0.5	0.92
40	0.727273	0.375	0.84
41	0.727273	0.375	0.88
42	0.727273	0.5	0.92
43	0.727273	0.375	0.84
44	0.727273	0.375	0.88
45	0.818182	0.5	0.88
46	0.818182	0.5	0.84
47	0.909091	0.5	0.88
48	0.818182	0.5	0.92
49	0.909091	0.625	0.92
50	0.909091	0.5	0.8
51	0.818182	0.5	0.84
52	0.818182	0.625	0.92
53	0.818182	0.625	0.96
54	0.818182	0.5	0.92
55	0.727273	0.375	0.88
56	0.727273	0.375	0.8
57	0.727273	0.5	0.92
58	0.727273	0.375	0.88
59	0.727273	0.375	0.84
60	0.727273	0.5	0.84
61	0.727273	0.375	0.72
62	0.818182	0.625	0.96
63	0.818182	0.625	0.92
64	0.818182	0.625	0.92
65	0.909091	0.625	0.92
66	0.818182	0.5	0.92
67	0.818182	0.5	0.84
68	0.909091	0.5	0.88
69	0.818182	0.5	0.84
70	0.909091	0.5	0.8
71	0.818182	0.5	0.88
72	0.727273	0.5	0.96
73	0.727273	0.5	0.92
74	0.818182	0.625	0.96
75	0.727273	0.5	0.92
76	0.727273	0.5	0.92
77	0.727273	0.375	0.88
78	0.818182	0.5	0.92
79	0.818182	0.5	0.92
80	0.727273	0.375	0.92
81	0.727273	0.375	0.84
82	0.727273	0.375	0.88
83	0.727273	0.375	0.92
84	0.727273	0.375	0.84
85	0.727273	0.5	0.92
86	0.727273	0.375	0.84
87	0.818182	0.625	0.92
88	0.727273	0.5	0.88
89	0.727273	0.5	0.84
90	0.818182	0.5	0.84
91	0.727273	0.375	0.72
92	0.818182	0.75	1
93	0.909091	0.875	1
94	0.818182	0.75	0.96
95	0.909091	0.75	0.96
96	0.909091	0.75	0.96
97	0.909091	0.75	0.92
98	0.909091	0.75	0.92
99	0.818182	0.625	0.88
100	0.818182	0.625	0.88
101	0.818182	0.625	0.92
102	0.818182	0.625	0.96
103	0.818182	0.625	0.92
104	0.818182	0.625	0.96
105	0.818182	0.625	0.96
106	0.727273	0.5	0.92
107	0.818182	0.625	0.92
108	0.727273	0.5	0.84
109	0.727273	0.5	0.84
110	0.727273	0.625	0.92
111	0.727273	0.5	0.88
112	0.818182	0.625	0.88
113	0.818182	0.75	0.96
114	0.727273	0.625	0.96
115	0.727273	0.5	0.92
116	0.818182	0.625	0.88
117	0.909091	0.625	0.92
118	0.818182	0.625	0.96
119	0.727273	0.5	0.96
120	0.727273	0.5	0.92
121	0.727273	0.5	0.92
122	0.727273	0.5	0.96
123	0.818182	0.625	0.96
124	0.727273	0.625	1
125	0.818182	0.75	1
126	0.727273	0.625	0.96
127	0.727273	0.5	0.92
128	0.727273	0.5	0.88
129	0.727273	0.5	0.96
130	0.818182	0.625	0.96
131	0.818182	0.625	0.92
132	0.727273	0.5	0.96
133	0.727273	0.5	0.88
134	0.727273	0.5	0.92
135	0.727273	0.625	0.96
136	0.727273	0.5	0.92
137	0.818182	0.75	0.96
138	0.818182	0.625	0.88
139	0.818182	0.625	0.92
140	0.818182	0.625	0.88
141	0.727273	0.5	0.76
142	0.727273	0.5	0.84
143	0.727273	0.625	0.88
144	0.909091	0.625	0.92
145	0.727273	0.5	0.92
146	0.727273	0.625	0.96
147	0.909091	0.75	0.96
148	0.909091	0.625	0.84
149	0.727273	0.5	0.88
150	0.818182	0.625	0.88
151	0.727273	0.5	0.88
152	0.818182	0.625	0.96
153	0.909091	0.75	0.96
154	0.909091	0.625	0.92
155	0.727273	0.5	0.96
156	0.727273	0.5	0.92
157	0.818182	0.625	0.96
158	0.818182	0.5	0.8
159	0.818182	0.5	0.76
160	0.727273	0.375	0.76
161	0.727273	0.375	0.84
162	0.909091	0.625	0.88
163	0.818182	0.5	0.88
164	0.818182	0.5	0.88
165	0.818182	0.5	0.92
166	0.909091	0.5	0.84
167	0.909091	0.5	0.8
168	0.909091	0.625	0.88
169	0.909091	0.625	0.88
170	0.727273	0.375	0.88
171	0.727273	0.375	0.92
172	0.727273	0.375	0.92
173	0.818182	0.5	0.88
174	0.818182	0.5	0.92
