solution	ancestral	parental	incomparable
0	0.666667	0.25	0.666667
1	0.666667	0.25	0.708333
2	0.75	0.375	0.666667
3	0.666667	0.375	0.708333
4	0.666667	0.375	0.75
5	0.75	0.5	0.75
6	0.666667	0.375	0.833333
7	0.75	0.5	0.875
8	0.666667	0.375	0.875
9	0.666667	0.375	0.833333
10	0.75	0.5	0.833333
11	0.833333	0.625	0.875
12	0.75	0.5	0.875
13	0.666667	0.375	0.833333
14	0.833333	0.5	0.833333
15	0.75	0.5	0.833333
16	0.666667	0.375	0.791667
17	0.666667	0.375	0.75
18	0.666667	0.25	0.833333
19	0.666667	0.25	0.791667
20	0.75	0.375	0.791667
21	0.666667	0.25	0.791667
22	0.666667	0.25	0.75
23	0.75	0.375	0.75
24	0.666667	0.25	0.791667
25	0.75	0.375	0.791667
26	0.666667	0.25	0.708333
27	0.75	0.375	0.75
28	0.833333	0.5	0.75
29	0.833333	0.375	0.708333
30	0.75	0.5	0.75
31	0.666667	0.375	0.583333
32	0.666667	0.375	0.708333
33	0.666667	0.375	0.75
34	0.666667	0.25	0.541667
35	0.75	0.375	0.666667
36	0.666667	0.25	0.666667
37	0.666667	0.25	0.708333
38	0.666667	0.25	0.833333
39	0.75	0.375	0.833333
40	0.75	0.25	0.791667
41	0.75	0.5	0.875
42	0.666667	0.375	0.875
43	0.666667	0.375	0.833333
44	0.666667	0.25	0.708333
45	0.75	0.375	0.708333
46	0.75	0.25	0.666667
47	0.75	0.375	0.791667
48	0.833333	0.5	0.791667
49	0.75	0.375	0.75
50	0.666667	0.25	0.791667
51	0.75	0.25	0.75
52	0.75	0.375	0.791667
53	0.833333	0.375	0.75
54	0.833333	0.25	0.708333
55	0.666667	0.25	0.791667
56	0.75	0.5	0.75
57	0.666667	0.375	0.75
58	0.666667	0.375	0.708333
59	0.75	0.5	0.833333
60	0.666667	0.375	0.791667
61	0.75	0.375	0.791667
62	0.75	0.5	0.875
63	0.833333	0.625	0.875
64	0.75	0.5	0.833333
65	0.75	0.5	0.791667
66	0.666667	0.375	0.833333
67	0.666667	0.375	0.833333
68	0.666667	0.375	0.875
69	0.666667	0.375	0.833333
70	0.75	0.5	0.916667
71	0.666667	0.375	0.916667
72	0.666667	0.375	0.833333
73	0.666667	0.25	0.791667
74	0.666667	0.25	0.875
75	0.666667	0.25	0.833333
76	0.666667	0.25	0.791667
77	0.75	0.375	0.833333
78	0.666667	0.25	0.916667
79	0.666667	0.25	0.875
80	0.75	0.375	0.875
81	0.666667	0.25	0.833333
82	0.666667	0.25	0.875
83	0.666667	0.25	0.875
84	0.75	0.5	0.875
85	0.75	0.375	0.833333
86	0.75	0.375	0.916667
87	0.75	0.5	0.958333
88	0.75	0.375	0.875
89	0.75	0.375	0.875
90	0.833333	0.5	0.875
91	0.75	0.375	0.833333
92	0.75	0.5	0.875
93	0.833333	0.625	0.958333
94	0.75	0.5	0.916667
95	0.75	0.5	0.916667
96	0.666667	0.375	0.875
97	0.75	0.25	0.833333
98	0.666667	0.375	0.833333
99	0.75	0.25	0.791667
100	0.75	0.25	0.875
101	0.666667	0.375	0.916667
102	0.75	0.25	0.833333
103	0.833333	0.25	0.791667
104	0.833333	0.375	0.833333
105	0.75	0.5	0.916667
106	0.666667	0.375	0.875
107	0.75	0.375	0.875
108	0.75	0.5	0.833333
109	0.833333	0.625	0.875
110	0.75	0.5	0.833333
111	0.666667	0.375	0.791667
112	0.666667	0.375	0.833333
113	0.75	0.5	0.875
114	0.75	0.5	0.791667
115	0.75	0.375	0.791667
116	0.75	0.375	0.791667
117	0.75	0.25	0.75
118	0.666667	0.25	0.791667
119	0.75	0.25	0.75
120	0.75	0.375	0.791667
121	0.833333	0.5	0.791667
122	0.833333	0.375	0.75
123	0.833333	0.375	0.708333
124	0.833333	0.5	0.833333
125	0.75	0.5	0.875
126	0.833333	0.625	0.916667
127	0.666667	0.25	0.833333
128	0.666667	0.375	0.875
129	0.75	0.375	0.833333
130	0.75	0.5	0.916667
131	0.75	0.25	0.791667
132	0.75	0.25	0.791667
133	0.75	0.375	0.833333
134	0.666667	0.375	0.833333
135	0.75	0.5	0.875
136	0.75	0.5	0.833333
137	0.833333	0.375	0.791667
138	0.833333	0.375	0.75
139	0.666667	0.25	0.791667
140	0.666667	0.375	0.833333
141	0.666667	0.25	0.833333
142	0.666667	0.375	0.875
143	0.666667	0.25	0.875
144	0.75	0.375	0.833333
145	0.666667	0.375	0.916667
146	0.75	0.5	0.916667
147	0.75	0.5	0.958333
148	0.75	0.5	0.916667
149	0.833333	0.625	0.958333
150	0.833333	0.5	0.916667
151	0.75	0.375	0.833333
152	0.75	0.375	0.875
153	0.833333	0.5	0.833333
154	0.833333	0.375	0.791667
155	0.75	0.5	0.833333
156	0.75	0.375	0.791667
157	0.75	0.5	0.916667
158	0.75	0.375	0.875
159	0.75	0.5	0.833333
