solution	ancestral	parental	incomparable
0	0.666667	0.375	0.708333
1	0.666667	0.375	0.75
2	0.75	0.5	0.75
3	0.666667	0.375	0.833333
4	0.75	0.5	0.875
5	0.666667	0.375	0.875
6	0.666667	0.375	0.833333
7	0.75	0.5	0.833333
8	0.833333	0.625	0.875
9	0.75	0.5	0.875
10	0.666667	0.375	0.833333
11	0.833333	0.5	0.833333
12	0.75	0.5	0.833333
13	0.666667	0.375	0.791667
14	0.666667	0.375	0.75
15	0.75	0.5	0.75
16	0.666667	0.375	0.583333
17	0.666667	0.375	0.708333
18	0.666667	0.375	0.75
19	0.75	0.5	0.875
20	0.666667	0.375	0.875
21	0.666667	0.375	0.833333
22	0.75	0.5	0.75
23	0.666667	0.375	0.75
24	0.666667	0.375	0.708333
25	0.75	0.5	0.833333
26	0.666667	0.375	0.791667
27	0.75	0.375	0.791667
28	0.75	0.5	0.875
29	0.833333	0.625	0.875
30	0.75	0.5	0.833333
31	0.75	0.5	0.791667
32	0.666667	0.375	0.833333
33	0.666667	0.375	0.833333
34	0.666667	0.375	0.875
35	0.666667	0.375	0.833333
36	0.75	0.5	0.916667
37	0.666667	0.375	0.916667
38	0.666667	0.375	0.833333
39	0.75	0.5	0.875
40	0.75	0.5	0.958333
41	0.75	0.5	0.875
42	0.833333	0.625	0.958333
43	0.75	0.5	0.916667
44	0.75	0.5	0.916667
45	0.666667	0.375	0.875
46	0.666667	0.375	0.833333
47	0.666667	0.375	0.916667
48	0.75	0.5	0.916667
49	0.666667	0.375	0.875
50	0.75	0.375	0.875
51	0.75	0.5	0.833333
52	0.833333	0.625	0.875
53	0.75	0.5	0.833333
54	0.666667	0.375	0.791667
55	0.666667	0.375	0.833333
56	0.75	0.5	0.875
57	0.75	0.5	0.791667
58	0.75	0.375	0.791667
59	0.75	0.5	0.875
60	0.833333	0.625	0.916667
61	0.666667	0.375	0.875
62	0.75	0.5	0.916667
63	0.75	0.375	0.833333
64	0.666667	0.375	0.833333
65	0.75	0.5	0.875
66	0.75	0.5	0.833333
67	0.666667	0.375	0.833333
68	0.666667	0.375	0.875
69	0.666667	0.375	0.916667
70	0.75	0.5	0.916667
71	0.75	0.5	0.958333
72	0.75	0.5	0.916667
73	0.833333	0.625	0.958333
74	0.833333	0.5	0.916667
75	0.75	0.5	0.833333
76	0.75	0.5	0.916667
77	0.75	0.5	0.833333
78	0.833333	0.625	0.916667
79	0.833333	0.625	0.875
80	0.916667	0.625	0.916667
81	0.833333	0.625	0.958333
82	0.916667	0.75	0.958333
83	0.75	0.5	0.916667
84	0.75	0.5	0.875
85	0.75	0.375	0.875
86	0.666667	0.375	0.875
87	0.666667	0.375	0.791667
88	0.833333	0.5	0.875
89	0.75	0.375	0.75
90	0.75	0.5	0.875
91	0.75	0.375	0.833333
92	0.833333	0.5	0.875
93	0.833333	0.5	0.875
94	0.833333	0.5	0.791667
95	0.833333	0.625	0.875
96	0.666667	0.5	0.875
97	0.75	0.625	0.916667
98	0.75	0.625	0.916667
99	0.666667	0.5	0.875
100	0.666667	0.5	0.833333
101	0.75	0.625	0.916667
102	0.666667	0.5	0.875
103	0.833333	0.75	0.958333
104	0.75	0.625	0.875
105	0.75	0.625	0.916667
106	0.75	0.5	0.875
107	0.75	0.375	0.833333
108	0.75	0.375	0.875
109	0.833333	0.5	0.875
110	0.75	0.375	0.75
111	0.75	0.5	0.833333
112	0.666667	0.375	0.833333
113	0.666667	0.375	0.791667
114	0.75	0.375	0.833333
115	0.666667	0.375	0.875
116	0.75	0.5	0.875
117	0.666667	0.375	0.833333
118	0.75	0.5	0.875
119	0.833333	0.625	0.916667
120	0.75	0.5	0.833333
121	0.75	0.5	0.916667
122	0.666667	0.375	0.875
