solution	ancestral	parental	incomparable
0	1	0.625	0.68
1	1	0.875	0.84
2	1	0.75	0.76
3	1	0.75	0.8
4	1	1	1
5	1	0.875	0.92
6	1	0.875	0.96
7	1	0.75	0.92
8	1	0.875	0.92
9	1	0.875	0.96
10	1	0.875	0.96
11	1	0.875	0.96
12	1	0.875	0.92
13	1	0.75	0.8
14	1	0.75	0.8
15	1	0.75	0.72
16	1	0.75	0.76
17	1	0.75	0.68
18	1	0.75	0.88
19	1	0.625	0.72
20	1	0.625	0.88
21	1	0.5	0.64
22	1	0.75	0.92
23	1	0.75	0.88
24	1	0.75	0.84
25	1	0.75	0.88
26	1	0.625	0.84
27	1	0.75	0.88
28	1	0.75	0.88
29	1	0.75	0.84
30	1	0.75	0.8
31	1	0.625	0.8
32	1	0.625	0.72
33	1	0.625	0.72
34	1	0.625	0.68
35	1	0.625	0.64
36	1	0.625	0.64
37	1	0.625	0.6
38	1	0.625	0.64
39	1	0.5	0.6
40	1	0.5	0.48
41	1	0.875	0.96
42	1	0.875	0.96
43	1	0.875	0.96
44	1	0.875	0.92
45	1	0.875	0.96
46	1	0.875	0.92
47	1	0.75	0.76
48	1	0.75	0.8
49	1	0.75	0.8
50	1	0.75	0.8
51	1	0.75	0.72
52	1	0.75	0.68
53	1	0.75	0.88
54	1	0.75	0.92
55	1	0.625	0.88
56	1	0.5	0.64
57	1	0.625	0.72
58	1	0.625	0.76
59	1	0.75	0.92
60	1	0.75	0.88
61	1	0.75	0.88
62	1	0.75	0.84
63	1	0.75	0.88
64	1	0.75	0.88
65	1	0.75	0.88
66	1	0.75	0.8
67	1	0.75	0.84
68	1	0.625	0.84
69	1	0.625	0.8
70	1	0.625	0.84
71	1	0.625	0.88
72	1	0.625	0.72
73	1	0.5	0.64
74	1	0.625	0.72
75	1	0.5	0.6
76	1	0.625	0.68
77	1	0.625	0.64
78	1	0.625	0.64
79	1	0.625	0.6
80	1	0.625	0.68
81	1	0.5	0.48
82	1	0.5	0.52
83	1	0.625	0.72
84	1	0.625	0.64
85	1	0.75	0.92
86	1	0.75	0.92
87	1	0.75	0.92
88	1	0.75	0.88
89	1	0.75	0.88
90	1	0.75	0.92
91	1	0.75	0.92
92	1	0.75	0.88
93	1	0.75	0.88
94	1	0.75	0.92
95	1	0.75	0.88
96	1	0.75	0.92
97	1	0.75	0.88
98	1	0.75	0.88
99	1	0.75	0.88
100	1	0.75	0.92
101	1	0.75	0.88
102	1	0.75	0.88
103	1	0.75	0.88
104	1	0.75	0.88
105	1	0.75	0.88
106	1	0.75	0.88
107	1	0.75	0.88
108	1	0.75	0.84
109	1	0.75	0.84
110	1	0.75	0.84
111	1	0.75	0.8
112	1	0.75	0.8
113	1	0.625	0.76
114	1	0.625	0.76
115	1	0.625	0.72
116	1	0.625	0.64
117	1	0.625	0.68
118	1	0.625	0.72
119	1	0.625	0.68
120	1	0.625	0.64
121	1	0.625	0.72
122	1	0.625	0.6
123	1	0.625	0.76
124	1	0.625	0.72
125	1	0.625	0.64
126	1	0.625	0.68
127	1	0.625	0.72
128	1	0.625	0.68
129	1	0.625	0.76
130	1	0.625	0.64
131	1	0.625	0.6
132	1	0.625	0.64
133	1	0.625	0.64
134	1	0.625	0.68
135	1	0.625	0.72
136	1	0.625	0.64
137	1	0.625	0.56
138	1	0.625	0.56
139	1	0.625	0.56
140	1	0.625	0.48
141	1	0.625	0.8
142	1	0.625	0.76
143	1	0.625	0.8
144	1	0.625	0.84
145	1	0.625	0.84
146	1	0.625	0.84
147	1	0.625	0.84
148	1	0.625	0.84
149	1	0.625	0.8
150	1	0.625	0.84
151	1	0.625	0.84
152	1	0.625	0.84
153	1	0.625	0.84
154	1	0.625	0.8
155	1	0.625	0.76
156	1	0.625	0.8
157	1	0.5	0.72
158	1	0.5	0.76
159	1	0.5	0.8
160	1	0.5	0.76
161	1	0.5	0.72
162	1	0.5	0.76
163	1	0.5	0.84
164	1	0.5	0.8
165	1	0.5	0.76
166	1	0.5	0.8
167	1	0.5	0.8
168	1	0.5	0.64
169	1	0.5	0.72
170	1	0.5	0.72
171	1	0.625	0.8
172	1	0.625	0.8
173	1	0.625	0.8
174	1	0.625	0.76
175	1	0.625	0.8
176	1	0.625	0.8
177	1	0.625	0.8
178	1	0.625	0.8
179	1	0.625	0.76
180	1	0.625	0.76
181	1	0.625	0.8
182	1	0.625	0.8
183	1	0.625	0.8
184	1	0.625	0.84
185	1	0.625	0.76
186	1	0.625	0.8
187	1	0.625	0.8
188	1	0.625	0.8
189	1	0.625	0.76
190	1	0.625	0.72
191	1	0.625	0.76
192	1	0.625	0.72
193	1	0.625	0.76
194	1	0.625	0.72
195	1	0.625	0.72
196	1	0.625	0.76
197	1	0.625	0.72
198	1	0.625	0.68
199	1	0.625	0.64
200	1	0.625	0.72
201	1	0.5	0.68
202	1	0.375	0.6
203	1	0.5	0.64
204	1	0.375	0.56
205	1	0.5	0.6
206	1	0.5	0.56
207	1	0.5	0.6
208	1	0.5	0.64
209	1	0.375	0.56
210	1	0.375	0.48
211	1	0.375	0.44
212	1	0.5	0.48
213	1	0.5	0.48
214	1	0.5	0.56
215	1	0.5	0.52
216	1	0.5	0.56
217	1	0.5	0.56
218	1	0.5	0.6
219	1	0.5	0.6
220	1	0.5	0.48
221	1	0.5	0.52
222	1	0.5	0.52
223	1	0.5	0.56
224	1	0.5	0.4
225	1	0.5	0.44
226	1	0.5	0.48
227	1	0.5	0.56
228	1	0.5	0.6
229	1	0.5	0.64
230	1	0.5	0.6
231	1	0.5	0.64
232	1	0.5	0.6
233	1	0.5	0.64
234	1	0.5	0.6
235	1	0.5	0.64
236	1	0.5	0.6
237	1	0.5	0.6
238	1	0.5	0.52
239	1	0.5	0.56
240	1	0.5	0.48
241	1	0.5	0.52
242	1	0.5	0.52
243	1	0.5	0.52
244	1	0.5	0.56
245	1	0.5	0.48
246	1	0.375	0.56
247	1	0.375	0.44
248	1	0.375	0.48
249	1	0.375	0.44
250	1	0.375	0.4
251	1	0.375	0.52
252	1	0.375	0.32
253	1	0.375	0.24
254	1	0.375	0.4
