47 #trees
8 #edges
0 1;2
0 3
0 4
0 8
1;2 6
1;2 7
4 5
4 9
8 #edges
0 1;2
0 3
0 4
0 8
1;2 6
1;2 7
4 5
5 9
8 #edges
0 1;2
0 4
0 8
1;2 7
1;2 3
3 6
4 5
4 9
8 #edges
0 1;2
0 4
0 8
1;2 6
1;2 7
4 3
4 5
4 9
8 #edges
0 1;2
0 4
0 8
1;2 6
1;2 7
4 5
4 9
5 3
8 #edges
0 1;2
0 4
0 8
1;2 6
1;2 7
4 3
4 5
5 9
8 #edges
0 1;2
0 4
0 8
1;2 7
1;2 3
3 6
4 5
5 9
8 #edges
0 1;2
0 4
0 8
1;2 6
1;2 7
4 5
3 9
5 3
8 #edges
0 1;2
0 4
0 8
1;2 6
1;2 7
3 9
4 3
4 5
8 #edges
0 1;2
0 3
0 4
1;2 6
1;2 7
3 8
4 5
5 9
8 #edges
0 1;2
0 3
0 4
1;2 6
1;2 7
3 8
4 5
4 9
8 #edges
0 1;2
0 3
0 4
1;2 6
1;2 7
4 5
4 8
5 9
8 #edges
0 1;2
0 3
0 4
1;2 6
1;2 7
4 5
5 9
9 8
8 #edges
0 1;2
0 3
0 4
1;2 6
1;2 7
4 5
5 9
5 8
8 #edges
0 1;2
0 3
0 4
1;2 6
1;2 7
6 8
4 5
5 9
8 #edges
0 1;2
0 3
0 4
1;2 6
1;2 7
4 5
4 9
5 8
8 #edges
0 1;2
0 3
0 4
1;2 6
1;2 7
4 5
4 9
4 8
8 #edges
0 1;2
0 3
0 4
1;2 6
1;2 7
6 8
4 5
4 9
8 #edges
0 1;2
0 3
0 4
1;2 6
1;2 7
4 5
4 9
9 8
8 #edges
0 1;2
0 4
1;2 7
1;2 3
6 8
3 6
4 5
4 9
8 #edges
0 1;2
0 4
1;2 7
1;2 3
6 8
3 6
4 5
5 9
8 #edges
0 1;2
0 4
1;2 7
1;2 3
3 6
4 5
4 9
4 8
8 #edges
0 1;2
0 4
1;2 7
1;2 3
3 6
4 5
4 8
5 9
8 #edges
0 1;2
0 4
1;2 7
1;2 3
3 6
4 5
5 9
5 8
8 #edges
0 1;2
0 4
1;2 7
1;2 3
3 6
4 5
5 9
9 8
8 #edges
0 1;2
0 4
1;2 7
1;2 3
3 6
4 5
4 9
5 8
8 #edges
0 1;2
0 4
1;2 7
1;2 3
3 6
4 5
4 9
9 8
8 #edges
0 1;2
0 4
1;2 6
1;2 7
4 5
4 9
4 8
5 3
8 #edges
0 1;2
0 4
1;2 6
1;2 7
3 9
4 3
4 5
4 8
8 #edges
0 1;2
0 4
1;2 6
1;2 7
4 3
4 5
4 8
5 9
8 #edges
0 1;2
0 4
1;2 6
1;2 7
4 5
4 8
3 9
5 3
8 #edges
0 1;2
0 4
1;2 6
1;2 7
4 3
4 5
5 9
5 8
8 #edges
0 1;2
0 4
1;2 6
1;2 7
4 3
4 5
4 9
5 8
8 #edges
0 1;2
0 4
1;2 6
1;2 7
3 9
4 3
4 5
5 8
8 #edges
0 1;2
0 4
1;2 6
1;2 7
4 5
4 9
3 8
5 3
8 #edges
0 1;2
0 4
1;2 6
1;2 7
4 5
4 9
5 3
9 8
8 #edges
0 1;2
0 4
1;2 6
1;2 7
6 8
4 5
4 9
5 3
8 #edges
0 1;2
0 4
1;2 6
1;2 7
6 8
4 5
3 9
5 3
8 #edges
0 1;2
0 4
1;2 6
1;2 7
4 5
3 9
5 3
9 8
8 #edges
0 1;2
0 4
1;2 6
1;2 7
4 3
4 5
5 9
9 8
8 #edges
0 1;2
0 4
1;2 6
1;2 7
6 8
4 3
4 5
5 9
8 #edges
0 1;2
0 4
1;2 6
1;2 7
3 8
4 3
4 5
5 9
8 #edges
0 1;2
0 4
1;2 6
1;2 7
6 8
4 3
4 5
4 9
8 #edges
0 1;2
0 4
1;2 6
1;2 7
4 3
4 5
4 9
9 8
8 #edges
0 1;2
0 4
1;2 6
1;2 7
3 8
4 3
4 5
4 9
8 #edges
0 1;2
0 4
1;2 6
1;2 7
6 8
3 9
4 3
4 5
8 #edges
0 1;2
0 4
1;2 6
1;2 7
3 9
4 3
4 5
9 8
