solution	ancestral	parental	incomparable
0	1	1	1
1	1	0.875	0.92
2	1	0.875	0.96
3	1	0.75	0.92
4	1	0.875	0.96
5	1	0.75	0.84
6	1	0.75	0.88
7	1	0.625	0.84
8	1	0.625	0.8
9	1	0.75	0.88
10	1	0.875	0.96
11	1	0.75	0.88
12	1	0.875	0.96
13	1	0.875	0.92
14	1	0.75	0.8
15	1	0.75	0.92
16	1	0.625	0.8
17	1	0.75	0.92
18	1	0.75	0.84
19	1	0.625	0.68
20	1	0.625	0.84
21	1	0.5	0.68
22	1	0.5	0.8
23	1	0.5	0.68
24	1	0.375	0.48
25	1	0.875	0.96
26	1	0.75	0.92
27	1	0.75	0.92
28	1	0.875	0.96
29	1	0.875	0.96
30	1	0.875	0.92
31	1	0.75	0.92
32	1	0.75	0.84
33	1	0.75	0.88
34	1	0.75	0.92
35	1	0.75	0.88
36	1	0.75	0.88
37	1	0.75	0.88
38	1	0.75	0.8
39	1	0.625	0.8
40	1	0.625	0.88
41	1	0.625	0.84
42	1	0.625	0.8
43	1	0.625	0.8
44	1	0.625	0.68
45	1	0.5	0.8
46	1	0.5	0.8
47	1	0.5	0.68
48	1	0.375	0.64
49	1	0.375	0.48
50	1	0.375	0.72
51	1	0.375	0.64
52	1	0.75	0.92
53	1	0.75	0.88
54	1	0.75	0.88
55	1	0.625	0.88
56	1	0.625	0.84
57	1	0.625	0.8
58	1	0.375	0.64
59	1	0.75	0.92
60	1	0.75	0.88
61	1	0.625	0.88
62	1	0.625	0.8
63	1	0.75	0.88
64	1	0.625	0.8
65	1	0.75	0.8
66	1	0.75	0.88
67	1	0.625	0.68
68	1	0.625	0.8
69	1	0.625	0.84
70	1	0.75	0.88
71	1	0.375	0.48
72	1	0.5	0.72
73	1	0.625	0.76
74	1	0.625	0.8
75	1	0.5	0.72
76	1	0.625	0.8
77	1	0.5	0.72
78	1	0.625	0.76
79	1	0.5	0.64
80	1	0.625	0.76
81	1	0.625	0.8
82	1	0.5	0.72
83	1	0.5	0.64
84	1	0.625	0.76
85	1	0.5	0.64
86	1	0.625	0.64
87	1	0.5	0.48
88	1	0.25	0.24
