57 #trees
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 9
7;10;13 16
9 12
9 14
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 9
6 14
7;10;13 16
9 12
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 9
6 14
7;10;13 16
8 12
9 8
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 9
7;10;13 16
8 14
9 12
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 9
7;10;13 16
9 12
12 14
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 9
7;10;13 16
7;10;13 14
9 12
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 9
7;10;13 16
8 12
8 14
9 8
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 9
7;10;13 16
8 12
9 8
12 14
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 9
7;10;13 16
7;10;13 14
8 12
9 8
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 8
6 9
6 14
6 11
7;10;13 16
9 12
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 8
6 9
6 14
7;10;13 16
8 11
9 12
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 8
6 9
6 14
7;10;13 16
9 12
14 11
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 8
6 9
6 14
7;10;13 16
7;10;13 11
9 12
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 8
6 9
6 14
7;10;13 16
9 12
9 11
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 8
6 9
6 14
7;10;13 16
9 12
12 11
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 9
6 14
6 11
7;10;13 16
8 12
9 8
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 9
6 14
7;10;13 16
7;10;13 11
8 12
9 8
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 9
6 14
7;10;13 16
8 12
9 8
12 11
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 9
6 14
7;10;13 16
8 12
8 11
9 8
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 9
6 14
7;10;13 16
8 12
9 8
14 11
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 8
6 9
6 11
7;10;13 16
8 14
9 12
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 8
6 9
6 11
7;10;13 16
7;10;13 14
9 12
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 8
6 9
6 11
7;10;13 16
9 12
9 14
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 8
6 9
6 11
7;10;13 16
9 12
12 14
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 9
6 11
7;10;13 16
8 12
8 14
9 8
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 9
6 11
7;10;13 16
7;10;13 14
8 12
9 8
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 9
6 11
7;10;13 16
8 12
9 8
12 14
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 9
7;10;13 16
8 12
8 14
9 8
14 11
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 9
7;10;13 16
7;10;13 11
8 12
8 14
9 8
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 9
7;10;13 16
8 12
8 14
8 11
9 8
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 9
7;10;13 16
8 12
8 14
9 8
12 11
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 9
7;10;13 16
7;10;13 11
8 12
9 8
12 14
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 9
7;10;13 16
7;10;13 14
7;10;13 11
8 12
9 8
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 9
7;10;13 16
7;10;13 14
8 12
9 8
12 11
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 9
7;10;13 16
7;10;13 14
8 12
9 8
14 11
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 9
7;10;13 16
7;10;13 14
8 12
8 11
9 8
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 9
7;10;13 16
8 12
8 11
9 8
12 14
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 9
7;10;13 16
8 12
9 8
12 14
14 11
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 8
6 9
7;10;13 16
9 12
9 14
9 11
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 8
6 9
7;10;13 16
9 12
9 14
12 11
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 8
6 9
7;10;13 16
7;10;13 11
9 12
9 14
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 8
6 9
7;10;13 16
9 12
9 14
14 11
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 8
6 9
7;10;13 16
8 11
9 12
9 14
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 8
6 9
7;10;13 16
7;10;13 14
9 12
9 11
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 8
6 9
7;10;13 16
9 12
9 11
12 14
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 8
6 9
7;10;13 16
8 14
9 12
9 11
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 8
6 9
7;10;13 16
7;10;13 14
7;10;13 11
9 12
8 #edges
0;1;2;3;4;5 6
6 7;10;13
6 8
6 9
7;10;13 16
