630 #trees
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 9
6 12
7;10;13 16
8 14
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 12
7;10;13 9
8 14
9 16
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 9
7;10;13 16
8 12
8 14
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
7;10;13 9
8 12
8 14
9 16
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 9
7;10;13 16
7;10;13 12
8 14
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
7;10;13 9
8 14
9 16
9 12
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
7;10;13 9
8 14
16 12
9 16
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 9
7;10;13 16
8 14
9 12
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 9
7;10;13 16
16 12
8 14
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 9
6 12
6 14
7;10;13 16
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 12
6 14
7;10;13 9
9 16
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 9
6 14
7;10;13 16
8 12
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 14
7;10;13 9
8 12
9 16
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 9
6 14
7;10;13 16
9 12
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 9
6 14
7;10;13 16
7;10;13 12
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 9
6 14
7;10;13 16
16 12
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 14
7;10;13 9
9 16
9 12
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 14
7;10;13 9
16 12
9 16
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
7;10;13 9
8 12
9 16
12 14
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 9
7;10;13 16
8 12
12 14
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
7;10;13 9
8 12
9 16
9 14
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
7;10;13 9
8 12
16 14
9 16
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 9
7;10;13 16
7;10;13 14
8 12
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 9
7;10;13 16
16 14
8 12
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 9
7;10;13 16
8 12
9 14
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 9
6 12
7;10;13 16
9 14
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 9
6 12
7;10;13 16
12 14
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 9
6 12
7;10;13 16
7;10;13 14
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 9
6 12
7;10;13 16
16 14
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 12
7;10;13 9
9 16
12 14
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 12
7;10;13 9
9 16
9 14
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 12
7;10;13 9
16 14
9 16
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 9
7;10;13 16
9 12
9 14
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 9
7;10;13 16
7;10;13 12
9 14
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 9
7;10;13 16
16 12
9 14
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 9
7;10;13 16
9 12
12 14
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 9
7;10;13 16
7;10;13 14
9 12
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 9
7;10;13 16
16 14
9 12
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 9
7;10;13 16
16 12
12 14
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 9
7;10;13 16
7;10;13 14
16 12
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 9
7;10;13 16
7;10;13 12
16 14
8 #edges
0;1;2;3;4;5 6
0;1;2;3;4;5 11
6 7;10;13
6 8
6 9
7;10;13 16
7;10;13 12
12 14
8 #edges
0;1;2;3;4;5 6
