solution	ancestral	parental	incomparable
0	0.882353	0.75	0.947368
1	0.882353	0.5	0.842105
2	0.882353	0.75	0.894737
3	0.882353	0.5	0.789474
4	0.882353	0.75	0.894737
5	0.941176	0.625	0.789474
6	0.941176	0.5	0.736842
7	0.941176	0.875	0.947368
8	0.882353	0.75	0.842105
9	0.882353	0.75	1
10	0.882353	0.5	0.894737
11	0.882353	0.75	0.947368
12	0.882353	0.5	0.842105
13	0.941176	0.875	1
14	0.882353	0.75	0.947368
15	0.882353	0.75	0.894737
16	0.941176	0.625	0.842105
17	0.941176	0.5	0.789474
18	0.882353	0.5	0.736842
19	0.882353	0.75	0.842105
20	0.941176	0.625	0.789474
21	0.941176	0.5	0.736842
22	0.882353	0.75	0.894737
23	0.882353	0.75	0.842105
24	0.941176	0.875	0.947368
25	0.941176	0.875	1
26	0.882353	0.75	0.947368
27	0.882353	0.75	0.947368
28	0.882353	0.75	0.894737
29	0.882353	0.5	0.842105
30	0.941176	0.625	0.842105
31	0.941176	0.5	0.789474
32	1	1	1
33	0.941176	0.875	0.947368
34	0.941176	0.875	0.894737
35	1	0.875	0.947368
36	0.941176	0.875	0.947368
37	0.941176	0.875	0.894737
38	0.882353	0.75	0.736842
39	0.882353	0.75	0.842105
40	0.882353	0.75	0.842105
41	0.882353	0.75	0.842105
42	1	0.625	0.736842
43	1	0.625	0.736842
44	1	0.625	0.736842
45	1	0.5	0.631579
46	0.882353	0.625	0.894737
47	0.882353	0.625	0.947368
48	0.882353	0.5	0.894737
49	0.941176	0.625	0.894737
50	0.882353	0.625	0.842105
51	0.941176	0.625	0.894737
52	0.882353	0.5	0.789474
53	0.882353	0.5	0.736842
54	0.882353	0.375	0.736842
55	0.941176	0.375	0.631579
56	0.941176	0.375	0.578947
57	0.941176	0.625	0.894737
58	0.882353	0.5	0.842105
59	0.882353	0.5	0.736842
60	0.882353	0.5	0.789474
61	0.882353	0.625	0.894737
62	0.941176	0.625	0.894737
63	0.882353	0.625	0.842105
64	0.882353	0.625	0.894737
65	0.882353	0.375	0.684211
66	0.941176	0.375	0.578947
67	0.941176	0.375	0.631579
68	0.882353	0.5	0.631579
69	0.941176	0.625	0.736842
70	1	0.75	0.894737
71	0.941176	0.625	0.789474
72	0.941176	0.625	0.736842
73	1	0.625	0.842105
74	0.941176	0.625	0.789474
75	0.882353	0.5	0.631579
76	0.882353	0.5	0.526316
77	0.882353	0.5	0.631579
78	0.882353	0.625	0.789474
79	0.941176	0.625	0.842105
80	0.882353	0.625	0.789474
81	1	0.625	0.789474
82	1	0.625	0.842105
83	0.941176	0.625	0.789474
84	0.941176	0.625	0.842105
85	0.882353	0.625	0.789474
86	0.941176	0.625	0.789474
87	0.882353	0.625	0.684211
88	1	0.375	0.473684
89	1	0.375	0.368421
90	1	0.375	0.473684
91	1	0.375	0.473684
92	0.882353	0.625	0.894737
93	0.882353	0.5	0.842105
94	0.882353	0.625	0.842105
95	0.882353	0.625	0.894737
96	0.882353	0.625	0.894737
97	0.882353	0.625	0.894737
98	0.882353	0.625	0.894737
99	0.882353	0.5	0.789474
100	0.882353	0.5	0.842105
101	0.882353	0.5	0.842105
102	0.882353	0.5	0.894737
103	0.882353	0.5	0.789474
104	0.882353	0.625	0.736842
105	0.882353	0.625	0.789474
106	0.882353	0.625	0.789474
107	0.941176	0.75	0.842105
108	0.941176	0.75	0.894737
109	0.882353	0.625	0.789474
110	0.882353	0.625	0.842105
111	0.882353	0.625	0.842105
112	0.882353	0.625	0.842105
113	0.941176	0.75	0.894737
114	0.882353	0.625	0.789474
115	0.882353	0.625	0.842105
116	0.882353	0.625	0.789474
117	0.882353	0.625	0.842105
118	0.882353	0.625	0.894737
119	0.882353	0.625	0.842105
120	0.941176	0.75	0.894737
121	0.882353	0.625	0.789474
122	0.882353	0.625	0.842105
123	0.882353	0.625	0.684211
124	0.882353	0.625	0.789474
125	0.882353	0.625	0.842105
126	0.882353	0.625	0.842105
127	0.882353	0.625	0.894737
128	0.882353	0.625	0.789474
129	0.941176	0.75	0.947368
130	0.941176	0.75	0.842105
131	0.941176	0.75	0.894737
132	0.882353	0.5	0.684211
133	0.882353	0.5	0.736842
134	0.882353	0.5	0.631579
135	0.882353	0.5	0.736842
136	0.882353	0.5	0.789474
137	0.882353	0.5	0.684211
138	0.941176	0.5	0.842105
139	0.882353	0.5	0.842105
140	0.882353	0.5	0.789474
141	0.882353	0.5	0.736842
142	0.882353	0.5	0.736842
143	0.882353	0.5	0.789474
144	0.882353	0.5	0.736842
145	0.941176	0.5	0.736842
146	0.941176	0.5	0.789474
147	0.941176	0.5	0.789474
148	0.941176	0.5	0.684211
149	0.941176	0.5	0.736842
150	0.882353	0.625	0.842105
151	0.882353	0.625	0.842105
152	0.882353	0.625	0.842105
153	0.882353	0.625	0.894737
154	0.882353	0.625	0.789474
155	0.882353	0.625	0.789474
156	0.882353	0.625	0.789474
157	0.882353	0.625	0.842105
158	0.882353	0.625	0.736842
159	0.882353	0.625	0.789474
160	0.882353	0.625	0.684211
161	0.882353	0.625	0.789474
162	0.882353	0.625	0.789474
163	0.882353	0.625	0.842105
164	0.941176	0.75	0.894737
165	0.882353	0.625	0.842105
166	0.941176	0.75	0.947368
167	0.882353	0.625	0.894737
168	0.882353	0.625	0.894737
169	0.941176	0.75	0.894737
170	0.882353	0.625	0.842105
171	0.882353	0.625	0.842105
172	0.882353	0.625	0.789474
173	0.882353	0.625	0.842105
174	0.882353	0.625	0.842105
175	0.882353	0.625	0.789474
176	0.941176	0.75	0.894737
177	0.882353	0.625	0.842105
178	0.882353	0.625	0.789474
179	0.941176	0.75	0.842105
180	0.882353	0.625	0.842105
181	0.882353	0.625	0.789474
182	0.941176	0.75	0.894737
183	0.941176	0.75	0.842105
184	0.882353	0.5	0.842105
185	0.882353	0.5	0.736842
186	0.882353	0.5	0.789474
187	0.882353	0.5	0.736842
188	0.882353	0.5	0.736842
189	0.882353	0.5	0.736842
190	0.882353	0.5	0.789474
191	0.882353	0.5	0.736842
192	0.882353	0.5	0.684211
193	0.882353	0.5	0.631579
194	0.882353	0.5	0.684211
195	0.882353	0.5	0.842105
196	0.941176	0.5	0.842105
197	0.882353	0.5	0.736842
198	0.941176	0.5	0.736842
199	0.882353	0.5	0.789474
200	0.941176	0.5	0.789474
201	0.941176	0.5	0.789474
202	0.882353	0.5	0.789474
