11 #trees
8 #edges
0 1;2
0 7
0 4
0 8
1;2 3
3 6
4 5
4 9
8 #edges
0 1;2
0 7
0 4
0 8
1;2 6
4 5
4 9
5 3
8 #edges
0 1;2
0 3
0 4
0 8
1;2 6
1;2 7
4 5
4 9
8 #edges
0 1;2
0 3
0 4
0 8
1;2 6
4 5
4 9
5 7
8 #edges
0 1;2
0 3
0 4
0 8
1;2 6
3 7
4 5
4 9
8 #edges
0 1;2
0 4
0 8
1;2 6
4 5
4 9
3 7
5 3
8 #edges
0 1;2
0 4
0 8
1;2 6
1;2 7
4 5
4 9
5 3
8 #edges
0 1;2
0 4
0 8
1;2 3
7 6
3 7
4 5
4 9
8 #edges
0 1;2
0 4
0 8
1;2 3
3 6
4 5
4 9
5 7
8 #edges
0 1;2
0 3
0 4
0 8
1;2 7
7 6
4 5
4 9
8 #edges
0 1;2
0 4
0 8
1;2 7
7 6
4 5
4 9
5 3
