solution	ancestral	parental	incomparable
0	0.9	0.75	0.923077
1	0.9	0.875	0.961538
2	0.9	0.75	0.923077
3	0.9	0.75	0.923077
4	0.9	0.75	0.923077
5	0.9	0.75	0.923077
6	0.9	0.625	0.884615
7	0.9	0.625	0.884615
8	0.9	0.625	0.846154
9	0.9	0.625	0.846154
10	0.9	0.625	0.884615
11	0.9	0.75	0.961538
12	0.9	0.75	0.961538
13	0.9	0.75	0.923077
14	0.9	0.75	0.884615
15	1	0.875	0.961538
16	1	1	1
17	0.9	0.875	0.961538
18	0.9	0.875	0.961538
19	0.9	0.875	0.961538
20	0.9	0.75	0.923077
21	1	0.875	0.961538
22	0.9	0.75	0.923077
23	1	0.75	0.923077
24	0.9	0.75	0.961538
25	0.9	0.75	0.884615
26	0.9	0.75	0.923077
27	0.9	0.75	0.923077
28	1	0.875	0.961538
29	0.9	0.625	0.923077
30	0.9	0.625	0.923077
31	0.9	0.625	0.846154
32	0.9	0.625	0.846154
33	0.9	0.625	0.884615
34	1	0.75	0.923077
35	1	0.75	0.923077
36	0.9	0.625	0.846154
37	1	0.625	0.884615
38	0.9	0.75	0.961538
39	0.9	0.75	0.961538
40	0.9	0.75	0.961538
41	0.9	0.625	0.923077
42	0.9	0.625	0.923077
43	0.9	0.625	0.884615
44	0.9	0.625	0.923077
45	0.9	0.625	0.884615
46	1	0.625	0.884615
47	0.9	0.625	0.846154
48	1	0.75	0.923077
49	0.9	0.75	0.923077
50	0.9	0.75	0.923077
51	1	0.75	0.923077
52	1	0.875	0.961538
53	0.9	0.625	0.884615
54	1	0.625	0.884615
55	1	0.625	0.884615
56	0.9	0.625	0.846154
57	1	0.75	0.923077
58	1	0.75	0.884615
59	1	0.625	0.807692
60	1	0.625	0.884615
61	0.9	0.625	0.846154
62	1	0.875	0.961538
63	1	0.875	0.961538
64	1	0.75	0.884615
65	0.9	0.75	0.884615
66	0.9	0.75	0.923077
67	0.9	0.75	0.923077
68	0.9	0.75	0.884615
69	0.9	0.625	0.769231
70	0.9	0.75	0.961538
71	0.9	0.625	0.923077
72	0.9	0.625	0.884615
73	0.9	0.625	0.923077
74	0.9	0.75	0.961538
75	0.9	0.75	0.961538
76	0.9	0.625	0.923077
77	0.9	0.625	0.884615
78	0.9	0.625	0.884615
79	0.9	0.625	0.846154
80	0.9	0.75	0.923077
81	0.9	0.75	0.923077
82	0.9	0.75	0.923077
83	0.9	0.625	0.884615
84	0.9	0.625	0.884615
85	0.9	0.625	0.846154
86	0.9	0.625	0.846154
87	1	0.75	0.884615
88	1	0.75	0.923077
89	0.9	0.625	0.769231
90	1	0.625	0.884615
91	0.9	0.75	0.923077
92	0.9	0.75	0.923077
93	1	0.875	0.961538
94	1	0.875	0.961538
95	1	0.875	0.961538
96	0.9	0.75	0.923077
97	1	0.75	0.923077
98	0.9	0.75	0.923077
99	0.9	0.75	0.884615
100	0.9	0.75	0.884615
101	0.9	0.625	0.884615
102	0.9	0.625	0.846154
103	0.9	0.625	0.846154
104	1	0.625	0.884615
105	1	0.75	0.923077
106	1	0.625	0.884615
107	1	0.625	0.884615
