solution	ancestral	parental	incomparable
0	0.727273	0.375	0.88
1	0.727273	0.5	0.96
2	0.727273	0.375	0.92
3	0.818182	0.625	0.92
4	0.818182	0.5	0.88
5	0.727273	0.5	0.92
6	0.727273	0.375	0.84
7	0.727273	0.375	0.88
8	0.818182	0.375	0.8
9	0.727273	0.375	0.84
10	0.727273	0.5	0.92
11	0.727273	0.5	0.92
12	0.727273	0.375	0.84
13	0.818182	0.625	0.96
14	0.818182	0.625	0.96
15	0.818182	0.75	1
16	0.727273	0.625	0.96
17	0.727273	0.5	0.92
18	0.727273	0.5	0.92
19	0.727273	0.625	0.96
20	0.727273	0.625	0.96
21	0.727273	0.625	0.96
22	0.727273	0.625	1
23	0.727273	0.5	0.96
24	0.727273	0.5	0.92
25	0.727273	0.5	0.88
26	0.727273	0.5	0.92
27	0.727273	0.5	0.96
28	0.818182	0.5	0.92
29	0.727273	0.5	0.92
30	0.727273	0.5	0.92
31	0.727273	0.5	0.92
32	0.727273	0.5	0.96
33	0.727273	0.5	0.88
34	0.727273	0.5	0.92
35	0.727273	0.5	0.96
36	0.818182	0.625	0.96
37	0.727273	0.5	0.92
38	0.727273	0.5	0.88
39	0.818182	0.5	0.88
40	0.727273	0.375	0.88
41	0.727273	0.375	0.92
42	0.727273	0.375	0.88
43	0.727273	0.375	0.84
44	0.818182	0.375	0.88
45	0.727273	0.375	0.84
46	0.727273	0.375	0.76
47	0.727273	0.375	0.88
48	0.727273	0.25	0.72
49	0.727273	0.375	0.84
50	0.727273	0.375	0.84
51	0.727273	0.5	0.92
52	0.727273	0.375	0.92
53	0.818182	0.5	0.88
54	0.727273	0.375	0.84
55	0.727273	0.5	0.92
56	0.818182	0.625	0.92
57	0.727273	0.5	0.96
58	0.727273	0.5	0.92
59	0.727273	0.375	0.88
60	0.727273	0.375	0.84
61	0.818182	0.375	0.8
62	0.727273	0.375	0.84
63	0.818182	0.5	0.8
64	0.727273	0.375	0.88
65	0.727273	0.25	0.76
66	0.818182	0.25	0.64
67	0.727273	0.375	0.92
68	0.727273	0.375	0.92
69	0.727273	0.375	0.88
70	0.727273	0.5	0.96
71	0.727273	0.5	0.96
72	0.727273	0.5	0.96
73	0.727273	0.5	0.96
74	0.727273	0.375	0.92
75	0.727273	0.375	0.88
76	0.727273	0.375	0.92
77	0.727273	0.25	0.84
78	0.727273	0.25	0.84
79	0.727273	0.375	0.92
80	0.727273	0.375	0.88
81	0.727273	0.375	0.92
82	0.727273	0.25	0.84
83	0.727273	0.25	0.76
