2431 #trees
8 #edges
0;1 2
0;1 10
0;1 3
0;1 6
0;1 4;8;11
2 7
3 5
5 9
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
2 7
3 5
5 9
4;8;11 6
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
2 7
3 5
3 6
5 9
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
2 7
3 5
5 6
6 9
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
2 7
3 5
5 9
5 6
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
2 6
3 5
5 9
6 7
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
0;1 7
2 6
3 5
5 9
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
2 6
3 5
5 9
4;8;11 7
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
2 6
3 5
3 7
5 9
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
2 6
3 5
5 7
7 9
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
2 6
3 5
5 9
5 7
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
0;1 7
3 5
5 9
4;8;11 6
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
0;1 7
3 5
5 6
6 9
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
0;1 7
3 5
5 9
5 6
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
0;1 7
3 5
3 6
5 9
8 #edges
0;1 2
0;1 10
0;1 3
0;1 6
0;1 4;8;11
3 5
5 9
6 7
8 #edges
0;1 2
0;1 10
0;1 3
0;1 6
0;1 4;8;11
3 5
5 9
4;8;11 7
8 #edges
0;1 2
0;1 10
0;1 3
0;1 6
0;1 4;8;11
3 5
3 7
5 9
8 #edges
0;1 2
0;1 10
0;1 3
0;1 6
0;1 4;8;11
3 5
5 9
5 7
8 #edges
0;1 2
0;1 10
0;1 3
0;1 6
0;1 4;8;11
3 5
5 7
7 9
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
3 5
5 9
6 7
4;8;11 6
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
3 5
3 7
5 9
4;8;11 6
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
3 5
5 9
5 7
4;8;11 6
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
3 5
5 7
4;8;11 6
7 9
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
3 5
3 7
5 9
5 6
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
3 5
3 7
5 6
6 9
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
3 5
3 6
5 9
4;8;11 7
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
3 5
5 6
6 9
4;8;11 7
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
3 5
5 9
5 6
4;8;11 7
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
3 5
5 6
5 7
6 9
8 #edges
0;1 2
0;1 10
0;1 3
0;1 4;8;11
3 5
5 9
5 6
6 7
8 #edges
0;1 2
